"","length","food"
"1",1.24,"Invertebrates"
"2",1.32,"Fish"
"3",1.32,"Fish"
"4",1.4,"Fish"
"5",1.42,"Invertebrates"
"6",1.42,"Fish"
"7",1.45,"Invertebrates"
"8",1.47,"Fish"
"9",1.5,"Invertebrates"
"10",1.52,"Invertebrates"
"11",1.55,"Invertebrates"
"12",1.6,"Invertebrates"
"13",1.63,"Invertebrates"
"14",1.65,"Fish"
"15",1.65,"Fish"
"16",1.68,"Fish"
"17",1.7,"Invertebrates"
"18",1.73,"Other"
"19",1.78,"Invertebrates"
"20",1.8,"Invertebrates"
"21",1.8,"Fish"
"22",1.85,"Fish"
"23",1.88,"Invertebrates"
"24",1.93,"Invertebrates"
"25",1.98,"Invertebrates"
"26",2.16,"Fish"
"27",2.26,"Fish"
"28",2.31,"Fish"
"29",2.31,"Fish"
"30",2.36,"Fish"
"31",2.36,"Fish"
"32",2.44,"Fish"
"33",2.46,"Fish"
"34",2.56,"Other"
"35",2.67,"Fish"
"36",2.72,"Invertebrates"
"37",2.79,"Fish"
"38",3.28,"Other"
"39",3.33,"Fish"
"40",3.56,"Fish"
"41",3.58,"Fish"
"42",3.66,"Fish"
"43",3.68,"Other"
"44",1.3,"Invertebrates"
"45",1.45,"Other"
"46",1.65,"Other"
"47",1.78,"Invertebrates"
"48",2.03,"Fish"
"49",2.39,"Fish"
"50",2.84,"Fish"
"51",3.71,"Fish"
"52",1.3,"Invertebrates"
"53",1.47,"Invertebrates"
"54",1.65,"Invertebrates"
"55",1.78,"Other"
"56",2.03,"Fish"
"57",2.41,"Fish"
"58",3.25,"Other"
"59",3.89,"Fish"
